combustible,comuna,kilometraje,motor,name,precio,region,transmision,vendedor
,"Las Condes,gasolina","29,900 km",2.0,2021 Mercedes-Benz A 45 Amg 2.0 Mercedes-AMG A 45 S 4Matic+ DCT,"$46,990,000 CLP",Metropolitana de Santiago,automático,Automotora Usado - Metropolitana de Santiago
,Lo Barnechea,"42,300 km",,2022 Mazda Bt-50 3.0 DSL HIGH PLUS 4WD AUT,"$32,290,000 CLP",Metropolitana de Santiago,,Automotora Usado - Metropolitana de Santiago
,Lo Barnechea,"133,180 km",,2019 Volkswagen Tiguan TDI 4X4 AUT,"$15,990,000 CLP",Metropolitana de Santiago,,Automotora Usado - Metropolitana de Santiago
,Lo Barnechea,230 km,,2024 Toyota Hilux DCAB 4X4 2.4 MT,"$31,590,000 CLP",Metropolitana de Santiago,,Automotora Usado - Metropolitana de Santiago
,Lo Barnechea,"63,406 km",,2018 Mazda 6 NEW 6 2.5 AUT,"$15,690,000 CLP",Metropolitana de Santiago,,Automotora Usado - Metropolitana de Santiago
,"Lo Barnechea,gasolina","59,500 km",2.3,2021 Ford Explorer 2.3 Limited Ecoboost Auto,"$31,990,000 CLP",Metropolitana de Santiago,automático,Automotora Usado - Metropolitana de Santiago
,Lo Barnechea,"154,076 km",,2020 Citroën C5 Aircross 2.0,"$14,990,000 CLP",Metropolitana de Santiago,,Automotora Usado - Metropolitana de Santiago
,Lo Barnechea,"215,558 km",,2015 Lexus Nx,"$16,490,000 CLP",Metropolitana de Santiago,,Automotora Usado - Metropolitana de Santiago
,Lo Barnechea,"22,034 km",,2018 Land Rover Evoque 2.0 AUT,"$28,990,000 CLP",Metropolitana de Santiago,,Automotora Usado - Metropolitana de Santiago
,Las Condes,"43,700 km",,2021 Jeep Wrangler UNLIMITED SAHARA 4x4  DSL 2.2,"$45,990,000 CLP",Metropolitana de Santiago,,Automotora Usado - Metropolitana de Santiago
,"Santiago,diesel","98,400 km",2.2,2018 Kia Sorento 2.2 DSL EX Auto,"$16,990,000 CLP",Metropolitana de Santiago,automático,Automotora Usado - Metropolitana de Santiago
,Vitacura,"90,700 km",,2017 BMW X3 20d xDRIVE,"$22,990,000 CLP",Metropolitana de Santiago,,Automotora Usado - Metropolitana de Santiago
,"Las Condes,diesel",154 km,2.2,2024 Peugeot Landtrek 2.2 BlueHDI 180 Active 4WD,"$25,492,451 CLP",Metropolitana de Santiago,automático,Automotora Usado - Metropolitana de Santiago
,"Las Condes,gasolina","76,000 km",2.0,2018 Ford Edge 2.0 Ecoboost Auto SE,"$14,307,991 CLP",Metropolitana de Santiago,automático,Automotora Usado - Metropolitana de Santiago
,"Las Condes,gasolina","25,856 km",1.7,2022 Jeep Renegade 1.8 Auto Sport LX,"$14,398,420 CLP",Metropolitana de Santiago,automático,Automotora Usado - Metropolitana de Santiago
,vitacura,"37,346 km",,Peugeot 308 2023 1.5 ALLURE PACK BLUEHDI DIESEL 130 EAT8 5P,"$20,190,000 CLP",Metropolitana de Santiago,,Automotora Usado - Metropolitana de Santiago
,"Las Condes,gasolina","56,524 km",2.5,2017 Mazda 6 2.5 Skyactiv-G GT Auto,"$15,073,147 CLP",Metropolitana de Santiago,automático,Automotora Usado - Metropolitana de Santiago
,Temuco,"24,054 km",,Hyundai Creta 2023 1.5 VALUE SUI2 CVT AT 5P,"$15,390,000 CLP",Araucanía,,Automotora Usado - Araucanía
